"","state","variable","value"
"40","South Carolina","avg_hatecrimes_per_100k_fbi_2010to2015","1.937082833"
"90","South Carolina","avg_hatecrimes_per_100k_fbi_2016","0.463605085868732"
"140","South Carolina","change","decrease"
"41","South Dakota","avg_hatecrimes_per_100k_fbi_2010to2015","3.301737127"
"91","South Dakota","avg_hatecrimes_per_100k_fbi_2016","2.42647211752444"
"141","South Dakota","change","decrease"
"42","Tennessee","avg_hatecrimes_per_100k_fbi_2010to2015","3.13605115"
"92","Tennessee","avg_hatecrimes_per_100k_fbi_2016","2.85662995245666"
"142","Tennessee","change","decrease"
"43","Texas","avg_hatecrimes_per_100k_fbi_2010to2015","0.752768305"
"93","Texas","avg_hatecrimes_per_100k_fbi_2016","0.803945188739771"
"143","Texas","change","increase"
"44","Utah","avg_hatecrimes_per_100k_fbi_2010to2015","2.384065044"
"94","Utah","avg_hatecrimes_per_100k_fbi_2016","2.35971417306603"
"144","Utah","change","decrease"
"45","Vermont","avg_hatecrimes_per_100k_fbi_2010to2015","1.90308139"
"95","Vermont","avg_hatecrimes_per_100k_fbi_2016","4.16270409257854"
"145","Vermont","change","increase"
"46","Virginia","avg_hatecrimes_per_100k_fbi_2010to2015","1.724754584"
"96","Virginia","avg_hatecrimes_per_100k_fbi_2016","1.78320760530911"
"146","Virginia","change","increase"
"47","Washington","avg_hatecrimes_per_100k_fbi_2010to2015","3.817740296"
"97","Washington","avg_hatecrimes_per_100k_fbi_2016","6.61361141602634"
"147","Washington","change","increase"
"48","West Virginia","avg_hatecrimes_per_100k_fbi_2010to2015","2.037053631"
"98","West Virginia","avg_hatecrimes_per_100k_fbi_2016","2.62137226653676"
"148","West Virginia","change","increase"
"49","Wisconsin","avg_hatecrimes_per_100k_fbi_2010to2015","1.121944651"
"99","Wisconsin","avg_hatecrimes_per_100k_fbi_2016","0.726806061147232"
"149","Wisconsin","change","decrease"
"50","Wyoming","avg_hatecrimes_per_100k_fbi_2010to2015","0.26694076"
"100","Wyoming","avg_hatecrimes_per_100k_fbi_2016","0.683175605165491"
"150","Wyoming","change","increase"
